NMSE,PSNR,SSIM,HFEN,VIF,LPIPS,TIME
0.5411228033333334,25.15141281268251,0.6587427492402639,3.5542284333333334,1.3165194666666666,0.1277343134085337,0.2803097565968831
0.15969131666666667,24.184805508786372,0.6644611537816526,4.042175133333333,1.0190010866666668,0.12381108850240703,0.0059351921081542336
0.18652819666666667,21.846096503585795,0.560934049075958,4.589695833333333,0.9568625866666668,0.14219198375940317,0.0013701121012369667
0.17780061333333333,20.82401370830441,0.5506331920330619,5.3292192,0.7646226,0.1416349460681279,0.0053143501281738
0.14683828200000001,20.841719618604774,0.5852385826145304,5.770958266666667,1.0429778200000002,0.1383753791451454,0.0
0.23989674699999997,20.589140165229512,0.5676907840749976,6.2510752,0.8440803333333333,0.1301144212484359,0.0
0.22397819,18.98454842677474,0.5258613160532899,7.8718015333333335,0.8691388533333334,0.18017869194348646,0.0068710645039876
0.23688784,18.36295098625592,0.5122740987829297,7.068780133333333,1.0102023333333332,0.14875928064187363,0.0052374998728434005
0.18444836666666664,20.14826077647634,0.5830693140798716,6.975419433333333,1.0399155833333333,0.16738922894001004,0.0095154444376627
0.08178943533333334,22.34889574459291,0.6405207561508931,7.154375366666667,0.8717351133333334,0.1469608147939046,0.0012891292572021335
0.11665001333333332,20.126425255081482,0.5989501627498593,7.3131173333333335,0.9841792766666667,0.17572893699010209,0.0037912527720133336
0.11358724766666665,19.836847227070795,0.5467105353177208,8.1626401,0.8313035000000001,0.20547758539517713,0.0014311472574869667
0.12470691999999999,18.86252684067806,0.5571331681715037,8.731856333333333,0.91889748,0.1891654779513677,0.005289316177368134
0.14392749933333332,18.76669468721097,0.5423069942665181,8.474298566666667,0.7833004166666666,0.2027332236369451,0.0
0.12320581133333335,19.42854820514458,0.5625775947416688,8.221016333333333,0.7112473533333334,0.21126156051953635,0.000764528910319
0.065795046,21.131838554411367,0.6183885367569001,8.416328,0.7915558966666666,0.22818799813588456,0.0026067097981770336
0.10940629666666667,19.238997191826858,0.5645613253561675,8.413913,0.6981936466666667,0.22913031280040733,0.0023051102956136
0.1489798813333333,18.058811924596302,0.569902351749156,7.913290333333333,0.8963243866666666,0.21427209178606663,0.005876620610554967
