NMSE,PSNR,SSIM,HFEN,VIF,LPIPS,TIME
0.7233713953333334,25.629365795705326,0.6490799570413928,4.2472902333333336,1.4836002666666666,0.2500530481338501,0.3114676475524902
0.3792728633333334,20.473431704857845,0.5803456229600099,5.127098,1.0875910466666667,0.1988635708888371,0.0102336406707763
0.32332873666666667,18.703084397764403,0.4743088255513925,5.613984599999999,1.0447124333333333,0.22230779131253556,0.0053110122680664
0.14986136333333333,20.606685877895366,0.6117271208585225,6.020849966666667,0.9662839,0.21772952377796165,0.011983553568522098
0.140440518,20.212446335932125,0.5330427316314946,7.093350566666667,0.7255878133333332,0.19262369970480597,0.01710549990336097
0.1887519733333333,19.436216706621952,0.5484234201067414,7.746434366666667,0.7341870666666667,0.23502729833126065,0.012168089548746699
0.24179755000000003,18.04850324949071,0.4722284303855446,9.370300433333334,0.7490230766666667,0.2974581867456436,0.010163307189941366
0.19680050333333332,19.20347277788808,0.5461012660991436,8.1897682,0.9718800233333335,0.2078781028588613,0.0072994232177734
0.1280643,21.330461440025726,0.5834477196014071,8.525588,0.7290195433333334,0.2394801676273346,0.012074073155720967
0.2907365966666667,16.65621897469662,0.41041033163634605,8.517289333333332,0.7452072666666667,0.2671973208586375,0.0085785388946533
0.15524474333333335,18.85939083804008,0.5537077783945598,8.952819066666667,0.9931809399999999,0.2944440344969431,0.011274178822835233
0.09154137866666667,20.52499365960652,0.5522433987344256,8.883328833333334,0.8963620200000001,0.24041812121868125,0.010811487833658833
0.15284480533333333,18.085151455574234,0.5092005217483925,9.853641666666666,0.7328041466666666,0.2851458589235942,0.011317094167073534
0.15144233533333332,18.292539849524477,0.5211267030786859,9.646077666666667,0.9073460466666666,0.28784814973672224,0.0074829260508219335
0.19673690333333335,16.59703263910634,0.46360046248493353,9.646372333333334,0.7504402200000001,0.3324188490708669,0.010235389073689734
0.15601664333333334,17.188953945544984,0.4950529456104933,9.942452333333334,0.8260407766666668,0.3318451344966888,0.010750055313110332
0.13416349133333336,18.076643133076644,0.5199446785905194,9.295276,0.7547031999999999,0.3107975721359253,0.0129351615905761
0.21374777666666667,16.548612347872695,0.43536066669178863,10.79694,0.6321209833333334,0.3842784166336059,0.007599989573160767
0.1810611533333333,17.680043810121305,0.4973652487881936,9.959657333333334,0.7174493466666666,0.3310543994108836,0.010171651840209933
0.19671081199999998,17.53686620367056,0.47595388178724707,9.845962,0.6814947333333333,0.3408316175142924,0.010305802027384401
0.15917310666666665,18.734306056869634,0.5204046520936977,8.804469333333335,0.6960196,0.31254928310712177,0.010664621988932234
0.15970808,18.39042003514925,0.5196047291517882,8.880092666666668,0.7020865400000001,0.3090559889872868,0.007450977961222301
0.20471878,17.380876735175868,0.5054657300463398,9.086630666666666,0.7982821533333334,0.32530005772908527,0.010073502858479766
0.2694343166666667,16.49093533898914,0.4865339235535779,8.537211333333333,0.74882357,0.30434182782967883,0.009926239649454735
0.2875700566666667,16.798188196117774,0.4958337123748069,8.8905625,0.8316182866666667,0.32459591825803114,0.0060495535532633
0.21978640666666668,18.08095754720067,0.5177160927673249,8.764511,0.7494688333333334,0.30013708273569745,0.006895621617635067
0.25655476666666666,17.658359753076727,0.4958399467738343,8.3651495,0.6811879666666667,0.31539868811766303,0.008297999699910467
0.258811282,18.155306654588856,0.514376310523888,7.863433400000001,0.6821646266666667,0.30286971231301624,0.014191230138142831
0.21547122333333335,18.278651729221117,0.5303394078581251,8.1829935,0.9352168533333334,0.30415295064449305,0.0112373034159342
0.16604726666666667,19.313170356504113,0.5351691864106233,7.958127133333334,0.7193024166666667,0.32085009415944415,0.021179119745890235
0.17096424666666668,19.465975310025424,0.600693461641759,7.255711833333334,1.3610395666666666,0.2525594979524612,0.013600349426269498
