,Model1-Model2,NMSE,PSNR,SSIM,HFEN,VIF,LPIPS,TIME
0,Classical - Early_DL,0.3227389333816721,1.0825287663176937,0.01876806815364391,-6.877933366016164,0.5022998806896838,0.07484500920123012,0.6019805713247147
1,Classical - Physics_DL,0.2704176878519515,2.3732095253559176,0.0890094112678461,-7.852624071094897,0.518284584991476,-0.02030030690528527,0.6013690489891061
2,Classical - Adv_Gen_DL,-0.16949558453278388,5.5229641647834065,0.15484418811427306,-8.364607906442702,0.6104404620577739,-0.020696350792636497,0.5987805091174054
3,Early_DL - Physics_DL,-0.052321245529720534,1.290680759038224,0.0702413431142022,-0.9746907050787346,0.01598470430179222,-0.09514531610651537,-0.0006115223356086283
4,Early_DL - Adv_Gen_DL,-0.49223451791445594,4.440435398465714,0.13607611996062915,-1.486674540426538,0.10814058136809004,-0.09554135999386659,-0.003200062207309328
5,Physics_DL - Adv_Gen_DL,-0.4399132723847355,3.1497546394274893,0.06583477684642695,-0.5119838353478036,0.09215587706629783,-0.00039604388735122516,-0.0025885398717006994
