Classical,Early DL,Physics DL,Adv DL
25.27579281022035,25.15141281268251,25.62936579570533,20.52967551955021
26.903386006973992,24.18480550878637,20.473431704857845,19.77256885621285
28.45838629113113,21.846096503585795,18.703084397764403,17.8948672341397
27.168439358725724,20.82401370830441,20.60668587789537,17.97115979825816
25.934829493938697,20.84171961860477,20.212446335932125,14.423315828836158
25.81783435579125,20.589140165229512,19.436216706621952,16.762385839054932
24.92629170199144,18.98454842677474,18.04850324949071,14.837387508803204
25.331300796044847,18.36295098625592,19.20347277788808,15.803321441652502
25.61789065799015,20.14826077647634,21.33046144002573,13.065613473671746
25.57152065184698,22.34889574459291,16.65621897469662,17.261065560537997
25.2371442104359,20.12642525508148,18.85939083804008,17.183105938832195
24.86473212712969,19.836847227070795,20.52499365960652,18.38538270317896
24.818669988451948,18.86252684067806,18.085151455574238,16.713744616658847
24.67203531866547,18.76669468721097,18.29253984952448,16.554465751705845
24.22626793384768,19.42854820514458,16.59703263910634,16.405687517298205
24.05922433819676,21.131838554411367,17.188953945544984,16.072506993827137
23.306136294504224,19.238997191826854,18.076643133076644,16.74664315049482
23.70385741116875,18.058811924596306,16.548612347872695,15.513710987335688
23.03309720276643,18.74298493678577,17.680043810121305,16.098270276935242
20.146581597431645,18.822232554869945,17.53686620367056,15.851418945999106
22.802709407320307,21.113917453910357,18.734306056869634,18.07791578624492
23.72486068499541,20.700748925238685,18.39042003514925,14.460800222877852
23.961403089931093,19.229630130680302,17.380876735175868,16.000155611641933
23.71734434511936,19.185370839569035,16.49093533898914,15.498098989503635
23.532165643877374,18.83353070766716,16.798188196117774,14.921537886682884
22.881136557980327,17.878252935679644,18.08095754720067,14.080426528003278
23.53836737524678,18.06451512806895,17.658359753076727,13.317624609552205
23.28418317078201,19.25872034384568,18.155306654588856,18.22638052111233
24.17222212986157,22.844234749093207,18.27865172922112,15.21114536918292
25.532753102722467,18.137957390277418,19.313170356504116,13.762674713168527
25.34615226207231,19.942605844947167,19.465975310025424,15.999051132988894
25.47553286599222,18.27874415599932,19.74624805292463,15.89246187455722
25.62204908942748,19.139025251220385,20.17205231735601,14.641693223068472
27.27777158283557,19.354778791852265,18.503219756503643,15.094410168092756
27.73705852802931,18.77898488096265,17.499503497452555,18.40857995974558
28.10198315060521,19.495335756810963,15.964463267973684,17.310804783810983
17.129431364440624,25.47073109232172,24.12496111811684,21.44547389674501
20.578835943143968,23.32662740447351,21.798961317137028,19.19954617949417
19.20228938119361,21.11863036426149,24.528984024029672,19.149480123729717
18.97959792695349,23.32474249751345,25.63946539343634,13.995117848042725
18.09173119052465,24.02002419578192,24.50468481156336,19.78093169223467
17.29471576412555,23.43843902622468,23.25289078573836,17.25957353341759
19.428309512483512,24.84921694843761,22.56837502704649,13.95614484692112
19.034040976639083,22.12744784238508,23.410688346138787,18.02818585801835
19.681715224222824,22.4581126357841,22.531285403087164,19.67617958673368
20.807787585725865,21.323978204365464,22.325019472981364,16.397820033869227
22.38490043606381,24.11165446420705,24.29463246980276,19.712208463322117
22.47306820334449,24.64476875221056,23.19375273765191,20.73092101655337
22.38067645994873,26.330868236045006,23.910047598631326,16.700343762895873
23.10810381492505,22.979236730885564,21.74666459011796,20.882269216278647
24.89296916302332,25.49292703464664,23.522363142492058,18.58606863870564
