Classical,Early DL,Physics DL,Adv DL
0.202523740629355,0.1277343134085337,0.2500530481338501,0.1506475905577341
0.1638412028551101,0.123811088502407,0.1988635708888371,0.1538734063506125
0.1517044802506764,0.1421919837594031,0.2223077913125355,0.2281444122393926
0.1542428880929946,0.1416349460681279,0.2177295237779616,0.2676494022210439
0.1668665135900179,0.1383753791451454,0.1926236997048059,0.3011154333750406
0.1755223050713538,0.1301144212484359,0.2350272983312606,0.2678837080796559
0.192873512705167,0.1801786919434864,0.2974581867456436,0.2992671330769856
0.2021315172314643,0.1487592806418736,0.2078781028588613,0.2929639816284179
0.2110325445731481,0.16738922894001,0.2394801676273346,0.3259269297122955
0.224676489830017,0.1469608147939046,0.2671973208586375,0.3224717775980631
0.2528684685627619,0.175728936990102,0.2944440344969431,0.2985586822032928
0.2748137364784876,0.2054775853951771,0.2404181212186812,0.3452096581459045
0.276026760538419,0.1891654779513677,0.2851458589235942,0.3702093462149302
0.2728495647509892,0.2027332236369451,0.2878481497367222,0.3798608680566152
0.2900646577278772,0.2112615605195363,0.3324188490708669,0.3643021285533905
0.2974092861016591,0.2281879981358845,0.3318451344966888,0.413125067949295
0.3105518917242686,0.2291303128004073,0.3107975721359253,0.3501111070315043
0.3150946050882339,0.2142720917860666,0.3842784166336059,0.4350494643052419
0.3226952503124873,0.22722061475118,0.3310543994108836,0.3815694351991017
0.3149901727835337,0.2360175649325052,0.3408316175142924,0.3847971459229787
0.3119097650051117,0.2528135379155476,0.3125492831071217,0.3817033966382344
0.3152198493480682,0.2270726958910624,0.3090559889872868,0.3926591674486796
0.3159212470054626,0.2397749622662862,0.3253000577290852,0.3835075894991557
0.3219977368911107,0.2700995703538258,0.3043418278296788,0.4081000288327535
0.3234067757924397,0.2268185317516327,0.3245959182580311,0.3833684126536051
0.3229126135508219,0.273480623960495,0.3001370827356974,0.3526933292547862
0.3289953370889028,0.2872988233963648,0.315398688117663,0.3845908641815185
0.3243089765310287,0.2329146762688954,0.3028697123130162,0.3468547165393829
0.3219366073608398,0.2036015689373016,0.304152950644493,0.3756323059399922
0.2825135936339696,0.216369758049647,0.3208500941594441,0.3655959367752075
