,Model1VsModel2,NMSE,PSNR,SSIM,HFEN,VIF,LPIPS,TIME
0,Classical vs Early_DL,0.0,1.0212900615450348e-123,1.5507437804578053e-39,0.0,0.0,0.0,0.0
1,Classical vs Physics_DL,3.2152887555392623e-251,0.0,0.0,0.0,0.0,2.826034009663399e-199,0.0
2,Classical vs Adv_Gen_DL,0.0,0.0,0.0,0.0,0.0,2.3696538263883552e-146,0.0
3,Early_DL vs Physics_DL,8.070622463916572e-243,0.0,0.0,0.0,9.630196742624897e-20,0.0,3.703545894965823e-33
4,Early_DL vs Adv_Gen_DL,0.0,0.0,0.0,0.0,4.89276796340836e-274,0.0,0.0
5,Physics_DL vs Adv_Gen_DL,0.0,0.0,0.0,0.0,1.9154873731516485e-216,7.418248524652045e-24,0.0
6,friedmansquare_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0
