,Model1-Model2,NMSE,PSNR,SSIM,HFEN,VIF,LPIPS,TIME
0,Classical - Early_DL,0.105835898179543,1.2653031458900017,0.015510315865883917,-6.587567748214122,0.2924726388164095,0.06949547926584879,0.603402058283488
1,Classical - Physics_DL,0.059395938728477204,2.5272349078798655,0.09189610656329972,-7.514187189999762,0.34611107268045593,-0.021497343977292416,0.6021152337392172
2,Classical - Adv_Gen_DL,-0.14466121628651002,5.864037223260921,0.16667384051216771,-8.123260710106909,0.4381100492908221,-0.035720452666282654,0.5994336605072021
3,Early_DL - Physics_DL,-0.0412153833333333,1.2988948151394943,0.07776643132741567,-0.9003568999999993,0.027404813333333777,-0.08982971807320919,-0.00043392181396479995
4,Early_DL - Adv_Gen_DL,-0.24602242200000002,4.25600726648522,0.13509915657607496,-1.4518351666666662,0.1510162866666669,-0.09827255705992388,-0.002728541692098
5,Physics_DL - Adv_Gen_DL,-0.2033382299999999,2.991446955808023,0.06142715768940177,-0.5482099999999992,0.11575849999999999,-0.011518771449724796,-0.0022819042205811
